Training_ID,Scenario,Model,Embedding,Batch_Size,ELMo_Dropout,Training_Number,Execution_Number,Best_Epoch,Training_Epochs,Training_Duration,Total_Duration(s),Average_Epoch_Duration(s),Training_Accuracy,Training_Accuracy_Top-3,Training_Precision,Training_Recall,Training_F1-Measure,Training_Loss,Best_Validation_Accuracy,Best_Validation_Accuracy_Top-3,Best_Validation_Precision,Best_Validation_Recall,Best_Validation_F1-Measure,Best_Validation_Loss,Test_Accuracy,Test_Accuracy_Top-3,Test_Precision,Test_Recall,Test_F1_Measure,Test_Loss
selective_harem_fasttext_64_0_5_3,selective,harem,fasttext,64,0,5,3,14,20,00:22:02,1322.0,66.1,0.9987813409762812,0.9988490442553768,0.9850543478260869,0.9837177747625508,0.9843856076034802,5.78583231879704,0.9851821780168477,0.9864000811935452,0.8619047619047616,0.8722891566265057,0.8670658682634228,98.7199250459671,0.9783564727954972,0.9801575984990619,0.847385272145144,0.7953255425709516,0.8205304857043937,173.41107656370917
selective_harem_fasttext_64_0_8_0,selective,harem,fasttext,64,0,8,0,18,20,00:22:43,1363.0,68.15,0.9989114333168739,0.9989563226646316,0.9850908105177555,0.9842903575297941,0.9846904213520704,5.230753641075163,0.9837728194726166,0.9855877015052845,0.8916876574307302,0.8676470588235292,0.879503105590012,131.25544261932373,0.9775609756097561,0.979392120075047,0.8342618384401114,0.8,0.8167717743309539,199.32841444915195
selective_harem_fasttext_64_0_1_1,selective,harem,fasttext,64,0,1,1,10,20,00:22:43,1363.0,68.15,0.9983942645844877,0.998462112559791,0.9811929070392262,0.9825127791229487,0.981852399516014,6.720762509018628,0.9894443337980482,0.9906393148775144,0.9026315789473681,0.8955613577023496,0.8990825688072893,68.27739953994751,0.97753095684803,0.979422138836773,0.828601108033241,0.7989983305509182,0.8135305116436693,155.11829534566627
selective_harem_word2vec_64_0_1_4,selective,harem,word2vec,64,0,1,4,18,20,00:22:27,1347.0,67.35,0.9986430404939333,0.9987221964651205,0.9840884573894283,0.9817056766209309,0.9828956228955731,5.036251125940636,0.9884485162318263,0.9895439155546704,0.8894736842105261,0.8825065274151433,0.8859764089121385,76.6039867401123,0.9781163227016886,0.9799024390243902,0.8329272537417334,0.7989983305509182,0.8156100886161738,190.25456007471624
selective_harem_glove_64_0_0_4,selective,harem,glove,64,0,0,4,11,20,00:22:35,1355.0,67.75,0.9988021136536653,0.9988916752496529,0.984341252699784,0.9832793959007551,0.9838100377765285,5.86348916968303,0.9788001311332095,0.9813135176483444,0.8235294117647056,0.8214285714285712,0.8224776500638068,111.62209033966064,0.9766454033771107,0.9785365853658536,0.8214788732394366,0.7789649415692821,0.7996572407882963,161.92264610866332
selective_harem_word2vec_64_0_1_2,selective,harem,word2vec,64,0,1,2,18,20,00:22:24,1344.0,67.2,0.9988578924157272,0.9988918164033789,0.9849381387842926,0.9852031207963411,0.9850706119703602,5.763805698992601,0.9885480979884486,0.9897430790679148,0.8921052631578945,0.8851174934725846,0.8885976408911685,84.85460293292999,0.9772757973733583,0.9791369606003753,0.8187757909215956,0.7949916527545909,0.8067084533287658,198.16451195051084
selective_harem_glove_64_0_3_4,selective,harem,glove,64,0,3,4,18,20,00:22:14,1334.0,66.7,0.9985137645667962,0.9985925800821933,0.9837000814995925,0.9805036555645816,0.982099267697265,6.262895547631961,0.9817805383022774,0.9834368530020704,0.8301886792452828,0.8648648648648646,0.8471720818290714,114.93260717391968,0.9793020637898686,0.9810731707317073,0.8332755632582323,0.8026711185308848,0.817687074829882,176.5755966114548
selective_harem_glove_64_0_9_2,selective,harem,glove,64,0,9,2,12,20,00:22:07,1327.0,66.35,0.9987082592093187,0.9988102387454251,0.9816216216216216,0.9818869964855367,0.9817542911203716,5.563469116367511,0.9828800626100568,0.9847387986695363,0.8526570048309177,0.880299251870324,0.8662576687116063,112.27152943611145,0.9788217636022514,0.9806078799249531,0.8200202224469161,0.8123539232053423,0.8161690707815671,147.12831615951825
selective_harem_word2vec_64_0_8_4,selective,harem,word2vec,64,0,8,4,14,20,00:22:22,1342.0,67.1,0.9987430982627823,0.99878798761054,0.9848484848484849,0.9859154929577465,0.985381700054092,5.432811842035892,0.9839863350058716,0.9860147325717946,0.8864197530864195,0.8799019607843135,0.8831488314882646,113.50181198120117,0.9777861163227017,0.9794821763602252,0.8145025295109612,0.8063439065108514,0.8104026845637085,177.7508684194313
selective_harem_glove_64_0_2_3,selective,harem,glove,64,0,2,3,19,20,00:22:07,1327.0,66.35,0.9984552827059813,0.9985461484291588,0.9801434087148373,0.9793331496279967,0.9797381116470899,6.664649785454594,0.9857183935588997,0.986772740343142,0.868583162217659,0.8980891719745221,0.8830897703548559,100.32351398468018,0.9780262664165104,0.9799174484052533,0.8340380549682875,0.7903171953255426,0.8115892336704454,198.61551443135963
