Training_ID,Corpus,Fine_Tuning,Model,Representation,Embedding,Embedding_Type,Training_Number,Execution_Number,Best_Epoch,Training_Epochs,Training_Duration,Total_Duration(s),Average_Epoch_Duration(s),Training_Accuracy,Training_Accuracy_Top-3,Training_Precision,Training_Recall,Training_F1-Measure,Training_Loss,Best_Validation_Accuracy,Best_Validation_Accuracy_Top-3,Best_Validation_Precision,Best_Validation_Recall,Best_Validation_F1-Measure,Best_Validation_Loss,Test_Accuracy,Test_Accuracy_Top-3,Test_Precision,Test_Recall,Test_F1_Measure,Test_Loss
harem-ft_ELMo+CNN+Embeddings_glove_glove_8_4,Wikipedia,Sim,harem-ft,ELMo+CNN+Embeddings,glove,glove,8,4,7,10,0:06:16.923302,376.0,37.6,0.9961395160928311,0.9963639628316201,0.9532735669654985,0.9504333694474539,0.9518513495184635,19.124891686795362,0.9849471549055194,0.9867620369381872,0.8827930174563589,0.8676470588235292,0.8751545117428423,84.56331300735474,0.978266416510319,0.9796322701688556,0.8367983367983368,0.8063439065108514,0.8212888964461327,134.37342435009074
harem-ft_ELMo+CNN+Embeddings_glove_glove_9_0,Wikipedia,Sim,harem-ft,ELMo+CNN+Embeddings,glove,glove,9,0,9,10,0:09:30.818741,570.0,57.0,0.9941191800845297,0.9945724224672249,0.931607629427793,0.9243038659097054,0.9279413760346902,51.163166438832,0.9806300136959499,0.9826844061827431,0.805687203791469,0.84788029925187,0.8262454434993423,195.49792098999023,0.9773658536585366,0.9792270168855535,0.8133971291866029,0.7946577629382304,0.8039182570511239,265.19381191112376
harem-ft_ELMo+CNN+Embeddings_glove_glove_9_1,Wikipedia,Sim,harem-ft,ELMo+CNN+Embeddings,glove,glove,9,1,9,10,0:11:25.376550,685.0,68.5,0.9941191800845297,0.994515767169388,0.9306311207834603,0.9248445525817789,0.9277288135592721,50.10510624156279,0.980043044414009,0.9820974369008022,0.8047619047619046,0.8428927680798003,0.8233861144944687,206.14960098266602,0.9770506566604128,0.9788667917448405,0.8120095530535654,0.7946577629382304,0.8032399595004565,269.3015882703993
harem-ft_ELMo+CNN+Embeddings_glove_glove_9_2,Wikipedia,Sim,harem-ft,ELMo+CNN+Embeddings,glove,glove,9,2,6,10,0:09:47.391607,587.0,58.7,0.9956375420665586,0.9958528321983389,0.947682298725942,0.9451203027845364,0.9463995668651368,19.44754268162286,0.9813148111915476,0.9828800626100568,0.8235294117647056,0.8728179551122192,0.8474576271185938,102.63588559627533,0.977545966228893,0.9789868667917448,0.8060155457924975,0.7963272120200334,0.8011420893516464,128.79382464570818
harem-ft_ELMo+CNN+Embeddings_glove_glove_9_3,Wikipedia,Sim,harem-ft,ELMo+CNN+Embeddings,glove,glove,9,3,9,10,0:10:25.531227,625.0,62.5,0.9939945384292885,0.9944137876332816,0.9293478260869565,0.9245742092457421,0.9269548719338164,50.32603729472441,0.9801408726276658,0.982195265114459,0.8071428571428569,0.8453865336658352,0.8258221680876479,204.2715950012207,0.9774409005628518,0.9792720450281426,0.8169642857142857,0.7943238731218698,0.8054850177754708,269.5815136520951
harem-ft_ELMo+CNN+Embeddings_glove_glove_9_4,Wikipedia,Sim,harem-ft,ELMo+CNN+Embeddings,glove,glove,9,4,7,10,0:06:02.345578,362.0,36.2,0.9954902382921827,0.9957621837217998,0.9463361481885045,0.9391727493917275,0.9427408412482539,19.279107463893606,0.9815104676188613,0.9825865779690863,0.828850855745721,0.8453865336658352,0.8370370370369868,98.52784550189972,0.9785065666041276,0.9797673545966229,0.8495891389782065,0.7939899833055092,0.8208491542974994,132.0884014705442
harem-ft_ELMo+CNN+Embeddings_wang2vec_cbow_0_0,Wikipedia,Sim,harem-ft,ELMo+CNN+Embeddings,wang2vec,cbow,0,0,9,10,0:10:10.838965,610.0,61.0,0.9947046706372308,0.9951636738166674,0.9388479388479388,0.9274541531823085,0.9331162664495498,48.56457370870254,0.9798929078789204,0.9818599060211999,0.8150851581508514,0.8545918367346936,0.8343711083436609,227.52252006530762,0.9785966228893058,0.9801575984990619,0.8191669488655604,0.8076794657762938,0.8133826496300778,252.96888895388003
harem-ft_ELMo+CNN+Embeddings_wang2vec_cbow_0_1,Wikipedia,Sim,harem-ft,ELMo+CNN+Embeddings,wang2vec,cbow,0,1,7,10,0:09:05.906766,545.0,54.5,0.9949621602256952,0.9954771394026242,0.9411283728536386,0.9312297734627831,0.9361529076860012,46.87341339447919,0.9805485739263469,0.9827341274177686,0.8179551122194512,0.8367346938775507,0.8272383354350065,213.00263595581055,0.978296435272045,0.9801275797373359,0.8284432171211599,0.8013355592654424,0.8146639511201131,249.9343807079174
harem-ft_ELMo+CNN+Embeddings_wang2vec_cbow_0_2,Wikipedia,Sim,harem-ft,ELMo+CNN+Embeddings,wang2vec,cbow,0,2,9,10,0:11:09.864134,669.0,66.9,0.9945591330437509,0.995006941023689,0.9387978142076503,0.9266450916936354,0.9326818675352377,49.608748996959015,0.9771609660146432,0.9792372418314939,0.7995226730310261,0.8545918367346936,0.8261405672009363,234.4539451599121,0.9772607879924953,0.9787016885553471,0.8078964830789648,0.8130217028380634,0.8104509901813447,254.9602805243598
harem-ft_ELMo+CNN+Embeddings_wang2vec_cbow_0_3,Wikipedia,Sim,harem-ft,ELMo+CNN+Embeddings,wang2vec,cbow,0,3,7,10,0:12:08.927945,728.0,72.8,0.9947270610362277,0.9952196498141597,0.9370915032679739,0.9279935275080906,0.932520325203202,46.80754728878246,0.9802207409026336,0.9825155720686264,0.8195488721804509,0.8341836734693875,0.8268015170669536,213.58176612854004,0.9781463414634146,0.9799774859287055,0.8274672187715666,0.8006677796327212,0.8138469370439004,249.82517581515842
harem-ft_ELMo+CNN+Embeddings_wang2vec_cbow_0_4,Wikipedia,Sim,harem-ft,ELMo+CNN+Embeddings,wang2vec,cbow,0,4,7,10,0:10:31.274333,631.0,63.1,0.9948725986297076,0.9953539922081411,0.9410480349344978,0.9298813376483279,0.9354313619098795,47.16920395458446,0.9805485739263469,0.9827341274177686,0.8174999999999998,0.8341836734693875,0.8257575757575256,211.85878944396973,0.9782814258911819,0.9800525328330206,0.8277528477735588,0.8006677796327212,0.8139850644941795,250.09571230853047
harem-ft_ELMo+CNN+Embeddings_wang2vec_cbow_1_0,Wikipedia,Sim,harem-ft,ELMo+CNN+Embeddings,wang2vec,cbow,1,0,8,10,0:10:22.138724,622.0,62.2,0.9945382379880814,0.9949566338357853,0.9390710382513662,0.9246704331450094,0.9318151009895121,48.503998700310206,0.9864568810993826,0.9876518621788488,0.8687664041994748,0.8642297650130546,0.8664921465968085,136.22421073913574,0.9767054409005629,0.9787317073170732,0.8183415319747014,0.7776293823038397,0.7974661872966459,264.6938042110867
harem-ft_ELMo+CNN+Embeddings_wang2vec_cbow_1_1,Wikipedia,Sim,harem-ft,ELMo+CNN+Embeddings,wang2vec,cbow,1,1,8,10,0:09:07.922968,547.0,54.7,0.9947078579263398,0.9951149457781597,0.9393608303742147,0.9252085014796879,0.9322309568988386,47.97721604739918,0.9868552081258714,0.9880501892053376,0.8730158730158728,0.8616187989556133,0.867279894875114,133.86555862426758,0.9768555347091933,0.9788667917448405,0.8207746478873239,0.778297161936561,0.7989717223649887,262.24858425281667
