Training Round,Epochs,Scenario,Embedding,Tagging Scheme,Capitalisation Dim,Lower,Char LSTM Dim,Word LSTM Dim,Precision,Recall,F1 Score
6,5,selective,Wang2Vec,iobes,False,True,50,100,69.93,60.63,64.95
6,5,selective,Wang2Vec,iobes,False,True,50,200,67.73,62.24,64.87
6,5,selective,Wang2Vec,iobes,True,False,25,100,58.66,56.01,57.3
6,5,selective,Wang2Vec,iobes,True,False,25,200,60.61,51.81,55.87
6,5,selective,Wang2Vec,iobes,True,False,50,100,60.18,52.03,55.81
6,5,selective,Wang2Vec,iobes,True,False,50,200,56.73,19.51,29.03
6,5,selective,Wang2Vec,iobes,True,True,25,100,65.55,67.26,66.4
6,5,selective,Wang2Vec,iobes,True,True,25,200,65.63,67.98,66.78
6,5,selective,Wang2Vec,iobes,True,True,50,100,69.52,65.44,67.42
6,5,selective,Wang2Vec,iobes,True,True,50,200,70.25,62.57,66.19
7,5,selective,Wang2Vec,iob,False,False,25,100,59.74,53.35,56.36
7,5,selective,Wang2Vec,iob,False,False,25,200,60.09,50.09,54.63
7,5,selective,Wang2Vec,iob,False,False,50,100,62.21,54.82,58.28
7,5,selective,Wang2Vec,iob,False,False,50,200,58.11,46.11,51.42
7,5,selective,Wang2Vec,iob,False,True,25,100,64.56,61.85,63.18
7,5,selective,Wang2Vec,iob,False,True,25,200,67.97,64.61,66.25
7,5,selective,Wang2Vec,iob,False,True,50,100,66.7,68.38,67.53
7,5,selective,Wang2Vec,iob,False,True,50,200,1.84,1.43,1.61
7,5,selective,Wang2Vec,iob,True,False,25,100,61.78,54.14,57.71
7,5,selective,Wang2Vec,iob,True,False,25,200,67.23,48.69,56.48
7,5,selective,Wang2Vec,iob,True,False,50,100,64.0,48.69,55.3
7,5,selective,Wang2Vec,iob,True,False,50,200,61.64,54.86,58.05
7,5,selective,Wang2Vec,iob,True,True,25,100,66.29,67.19,66.74
7,5,selective,Wang2Vec,iob,True,True,25,200,56.89,53.46,55.12
7,5,selective,Wang2Vec,iob,True,True,50,100,68.19,65.4,66.76
7,5,selective,Wang2Vec,iob,True,True,50,200,72.62,60.38,65.94
7,5,selective,Wang2Vec,iobes,False,False,25,100,66.33,49.73,56.84
7,5,selective,Wang2Vec,iobes,False,False,25,200,62.75,50.48,55.95
7,5,selective,Wang2Vec,iobes,False,False,50,100,58.22,56.36,57.28
7,5,selective,Wang2Vec,iobes,False,False,50,200,59.95,55.72,57.76
7,5,selective,Wang2Vec,iobes,False,True,25,100,66.61,67.23,66.92
7,5,selective,Wang2Vec,iobes,False,True,25,200,65.67,65.83,65.75
7,5,selective,Wang2Vec,iobes,False,True,50,100,65.58,65.79,65.69
7,5,selective,Wang2Vec,iobes,False,True,50,200,69.05,64.79,66.85
7,5,selective,Wang2Vec,iobes,True,False,25,100,59.08,54.57,56.74
7,5,selective,Wang2Vec,iobes,True,False,25,200,66.12,48.08,55.68
7,5,selective,Wang2Vec,iobes,True,False,50,100,63.19,50.23,55.97
7,5,selective,Wang2Vec,iobes,True,False,50,200,64.53,49.7,56.15
7,5,selective,Wang2Vec,iobes,True,True,25,100,64.46,68.16,66.26
7,5,selective,Wang2Vec,iobes,True,True,25,200,69.24,63.43,66.21
7,5,selective,Wang2Vec,iobes,True,True,50,100,66.38,66.98,66.68
7,5,selective,Wang2Vec,iobes,True,True,50,200,70.19,63.57,66.72
8,5,selective,Wang2Vec,iob,False,False,25,100,67.69,46.04,54.8
8,5,selective,Wang2Vec,iob,False,False,25,200,61.95,52.42,56.79
8,5,selective,Wang2Vec,iob,False,False,50,100,64.86,48.19,55.3
8,5,selective,Wang2Vec,iob,False,False,50,200,62.58,50.2,55.71
8,5,selective,Wang2Vec,iob,False,True,25,100,66.14,64.65,65.39
8,5,selective,Wang2Vec,iob,False,True,25,200,67.82,64.75,66.25
8,5,selective,Wang2Vec,iob,False,True,50,100,68.22,64.72,66.42
8,5,selective,Wang2Vec,iob,False,True,50,200,72.16,63.0,67.27
8,5,selective,Wang2Vec,iob,True,False,25,100,62.09,54.21,57.89
8,5,selective,Wang2Vec,iob,True,False,25,200,63.93,47.79,54.7
8,5,selective,Wang2Vec,iob,True,False,50,100,64.19,46.4,53.86
8,5,selective,Wang2Vec,iob,True,False,50,200,7.3,6.24,6.73
8,5,selective,Wang2Vec,iob,True,True,25,100,74.07,25.1,37.49
8,5,selective,Wang2Vec,iob,True,True,25,200,70.22,60.95,65.26
8,5,selective,Wang2Vec,iob,True,True,50,100,67.32,65.44,66.36
8,5,selective,Wang2Vec,iob,True,True,50,200,65.96,66.22,66.09
8,5,selective,Wang2Vec,iobes,False,False,25,100,27.61,6.45,10.46
8,5,selective,Wang2Vec,iobes,False,False,25,200,65.38,46.72,54.5
8,5,selective,Wang2Vec,iobes,False,False,50,100,63.68,49.66,55.8
8,5,selective,Wang2Vec,iobes,False,False,50,200,66.73,47.69,55.63
8,5,selective,Wang2Vec,iobes,False,True,25,100,65.67,65.58,65.63
8,5,selective,Wang2Vec,iobes,False,True,25,200,71.04,58.48,64.15
8,5,selective,Wang2Vec,iobes,False,True,50,100,68.84,65.18,66.96
8,5,selective,Wang2Vec,iobes,False,True,50,200,67.59,64.83,66.18
8,5,selective,Wang2Vec,iobes,True,False,25,100,60.5,52.67,56.32
8,5,selective,Wang2Vec,iobes,True,False,25,200,55.89,55.11,55.5
8,5,selective,Wang2Vec,iobes,True,False,50,100,59.47,54.25,56.74
8,5,selective,Wang2Vec,iobes,True,False,50,200,59.48,53.89,56.55
8,5,selective,Wang2Vec,iobes,True,True,25,100,68.81,66.69,67.73
8,5,selective,Wang2Vec,iobes,True,True,25,200,64.81,66.3,65.54
8,5,selective,Wang2Vec,iobes,True,True,50,100,67.63,65.26,66.42
8,5,selective,Wang2Vec,iobes,True,True,50,200,69.16,62.39,65.6
9,5,selective,Wang2Vec,iob,False,False,25,100,53.7,55.47,54.57
9,5,selective,Wang2Vec,iob,False,False,25,200,66.05,49.87,56.83
9,5,selective,Wang2Vec,iob,False,False,50,100,61.85,51.45,56.18
9,5,selective,Wang2Vec,iob,False,False,50,200,63.89,51.2,56.85
9,5,selective,Wang2Vec,iob,False,True,25,100,67.51,67.05,67.28
9,5,selective,Wang2Vec,iob,False,True,25,200,69.7,62.42,65.86
9,5,selective,Wang2Vec,iob,False,True,50,100,64.38,66.55,65.44
9,5,selective,Wang2Vec,iob,False,True,50,200,19.86,16.03,17.74
9,5,selective,Wang2Vec,iob,True,False,25,100,65.47,48.4,55.66
9,5,selective,Wang2Vec,iob,True,False,25,200,56.34,56.72,56.53
9,5,selective,Wang2Vec,iob,True,False,50,100,58.95,53.71,56.21
9,5,selective,Wang2Vec,iob,True,False,50,200,61.76,51.2,55.99
9,5,selective,Wang2Vec,iob,True,True,25,100,65.34,65.9,65.62
9,5,selective,Wang2Vec,iob,True,True,25,200,69.7,63.5,66.45
